epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5786,2.07346,3.20259,2.81366,0.61702,0.22284,0.16246,0.08432,1.83668,3.04944,2.95676,0.000408951,0.000408951,0.000408951
2,32.1756,1.78701,2.31344,2.55075,0.64831,0.37017,0.37039,0.1966,1.75962,2.58508,2.88164,0.000817444,0.000817444,0.000817444
3,47.2304,1.70128,1.99222,2.48702,0.68299,0.39156,0.42197,0.2487,1.72394,2.05355,2.86943,0.00121769,0.00121769,0.00121769
4,62.0106,1.65221,1.79594,2.45885,0.75026,0.48092,0.49472,0.25543,1.69776,2.15086,2.90603,0.00121287,0.00121287,0.00121287
5,77.0113,1.63438,1.76434,2.44422,0.52123,0.53819,0.54526,0.31095,1.73936,1.75826,2.81193,0.0012005,0.0012005,0.0012005
6,91.9261,1.57316,1.69186,2.40602,0.76041,0.53705,0.59999,0.32282,1.63172,1.66016,2.82898,0.00118812,0.00118812,0.00118812
7,106.591,1.55351,1.64881,2.45185,0.55989,0.60077,0.60235,0.32879,1.61732,1.63091,2.71328,0.00117575,0.00117575,0.00117575
8,121.257,1.51371,1.47678,2.34094,0.72532,0.60162,0.6632,0.35687,1.55458,1.54042,2.70416,0.00116337,0.00116337,0.00116337
9,136.378,1.43929,1.41069,2.34684,0.57687,0.64086,0.6117,0.36799,1.48182,1.47967,2.72257,0.001151,0.001151,0.001151
10,151.562,1.46171,1.41477,2.37449,0.67194,0.60128,0.67572,0.40094,1.47108,1.37345,2.69389,0.00113863,0.00113863,0.00113863
11,166.59,1.39845,1.33396,2.32647,0.64568,0.71356,0.7061,0.39896,1.43137,1.33427,2.72774,0.00112625,0.00112625,0.00112625
12,181.646,1.38704,1.35445,2.33826,0.69548,0.69204,0.70963,0.40264,1.47056,1.37712,2.71358,0.00111388,0.00111388,0.00111388
13,196.55,1.3831,1.3037,2.29298,0.64575,0.66234,0.68695,0.41519,1.35415,1.33871,2.67327,0.0011015,0.0011015,0.0011015
14,211.629,1.37761,1.30137,2.31368,0.6376,0.61565,0.65974,0.37083,1.44586,1.38345,2.69963,0.00108913,0.00108913,0.00108913
15,226.72,1.3406,1.27003,2.30034,0.6456,0.74022,0.71984,0.43006,1.38113,1.22122,2.6396,0.00107675,0.00107675,0.00107675
16,241.7,1.30682,1.19286,2.22652,0.76102,0.70086,0.76222,0.43765,1.33119,1.22684,2.63559,0.00106437,0.00106437,0.00106437
17,256.96,1.32521,1.19673,2.24684,0.70786,0.70448,0.76125,0.44388,1.39886,1.15218,2.6286,0.001052,0.001052,0.001052
18,272.401,1.31992,1.2247,2.26253,0.74191,0.77048,0.77746,0.45629,1.34798,1.13186,2.64517,0.00103962,0.00103962,0.00103962
19,287.672,1.28154,1.20086,2.25569,0.80049,0.71574,0.78759,0.47019,1.31033,1.14256,2.58265,0.00102725,0.00102725,0.00102725
20,302.877,1.22671,1.09248,2.16636,0.79485,0.76434,0.80546,0.47569,1.30991,1.07225,2.61518,0.00101488,0.00101488,0.00101488
21,318.103,1.25234,1.1007,2.18715,0.79389,0.71721,0.78545,0.4778,1.32012,1.05624,2.53398,0.0010025,0.0010025,0.0010025
22,333.326,1.25253,1.11658,2.22798,0.75477,0.79057,0.80064,0.47387,1.25355,0.99533,2.62121,0.000990125,0.000990125,0.000990125
23,348.426,1.23145,1.13218,2.26014,0.79673,0.75034,0.79991,0.48881,1.26797,1.04657,2.5638,0.00097775,0.00097775,0.00097775
24,363.586,1.24306,1.10817,2.22128,0.79575,0.71614,0.78278,0.49189,1.22882,1.00681,2.61468,0.000965375,0.000965375,0.000965375
25,379.171,1.19921,1.0584,2.17001,0.77461,0.81153,0.79942,0.50598,1.24747,0.96395,2.54415,0.000953,0.000953,0.000953
26,394.836,1.19212,1.04743,2.17095,0.74786,0.78708,0.80858,0.51244,1.2241,0.97541,2.58097,0.000940625,0.000940625,0.000940625
